alternative_symbol,alternative_symbol,symbol
NCRNA00181,NCRNA00181,A1BG-AS1
A1BGAS,A1BGAS,A1BG-AS1
A1BG-AS,A1BG-AS,A1BG-AS1
CPAMD9,CPAMD9,A2ML1
A2MP,A2MP,A2MP1
A3GALT2P,A3GALT2P,A3GALT2
P1,P1,A4GALT
AACSL,AACSL,AACSP1
C11orf67,C11orf67,AAMDC
C20orf4,C20orf4,AAR2
C8orf85,C8orf85,AARD
AARS,AARS,AARS1
AARSP1,AARSP1,AARS1P1
AARSL,AARSL,AARS2
ABC1,ABC1,ABCA1
HDLDT1,HDLDT1,ABCA1
ABC2,ABC2,ABCA2
ABC3,ABC3,ABCA3
STGD1,STGD1,ABCA4
ABCR,ABCR,ABCA4
RP19,RP19,ABCA4
STGD,STGD,ABCA4
ABCA11,ABCA11,ABCA11P
ICR2B,ICR2B,ABCA12
NCRNA00169,NCRNA00169,ABCA15P
CRYM-AS1,CRYM-AS1,ABCA15P
PGY1,PGY1,ABCB1
MDR1,MDR1,ABCB1
CLCS,CLCS,ABCB1
PGY3,PGY3,ABCB4
MDR3,MDR3,ABCB4
ABC7,ABC7,ABCB7
ABCB10P,ABCB10P,ABCB10P1
ABCB10P2,ABCB10P2,ABCB10P1
BSEP,BSEP,ABCB11
PFIC2,PFIC2,ABCB11
MRP,MRP,ABCC1
MRP1,MRP1,ABCC1
CMOAT,CMOAT,ABCC2
ARA,ARA,ABCC6
PXE,PXE,ABCC6
SUR,SUR,ABCC8
HRINS,HRINS,ABCC8
ALD,ALD,ABCD1
ALDL1,ALDL1,ABCD2
PXMP1,PXMP1,ABCD3
PXMP1L,PXMP1L,ABCD4
RNASEL1,RNASEL1,ABCE1
RNASELI,RNASELI,ABCE1
RNS4I,RNS4I,ABCE1
ABC50,ABC50,ABCF1
ABCF2-H2BE1,ABCF2-H2BE1,ABCF2-H2BK1
WBSCR21,WBSCR21,ABHD11
C20orf22,C20orf22,ABHD12
C14orf29,C14orf29,ABHD12B
C13orf6,C13orf6,ABHD13
BAT5,BAT5,ABHD16A
C20orf135,C20orf135,ABHD16B
C19orf27,C19orf27,ABHD17A
FAM108A1,FAM108A1,ABHD17A
FAM108A2,FAM108A2,ABHD17AP1
ABHD17AP2,ABHD17AP2,ABHD17AP1
FAM108A3,FAM108A3,ABHD17AP1
FAM108A11P,FAM108A11P,ABHD17AP1
FAM108A3P,FAM108A3P,ABHD17AP1
FAM108A4,FAM108A4,ABHD17AP3
FAM108A4P,FAM108A4P,ABHD17AP3
FAM108A5,FAM108A5,ABHD17AP4
FAM108A5P,FAM108A5P,ABHD17AP4
FAM108A6,FAM108A6,ABHD17AP5
FAM108A6P,FAM108A6P,ABHD17AP5
FAM108A7P,FAM108A7P,ABHD17AP6
FAM108A8P,FAM108A8P,ABHD17AP7
FAM108A9P,FAM108A9P,ABHD17AP8
FAM108A10P,FAM108A10P,ABHD17AP9
C9orf77,C9orf77,ABHD17B
FAM108B1,FAM108B1,ABHD17B
FAM108C1,FAM108C1,ABHD17C
C4orf29,C4orf29,ABHD18
SSH3BP1,SSH3BP1,ABI1
SSH3BP1P,SSH3BP1P,ABI1P1
ABI1P,ABI1P,ABI1P1
C9orf6,C9orf6,ABITRAM
FAM206A,FAM206A,ABITRAM
FAM206BP,FAM206BP,ABITRAMP1
ABL,ABL,ABL1
ABLL,ABLL,ABL2
LIMAB1,LIMAB1,ABLIM1
ABLIM,ABLIM,ABLIM1
C6orf115,C6orf115,ABRACL
CCDC98,CCDC98,ABRAXAS1
FAM175A,FAM175A,ABRAXAS1
KIAA0157,KIAA0157,ABRAXAS2
FAM175B,FAM175B,ABRAXAS2
BTBD11,BTBD11,ABTB3
ACAC,ACAC,ACACA
ACC,ACC,ACACA
MSK16,MSK16,ACAN
CSPG1,CSPG1,ACAN
AGC1,AGC1,ACAN
CENTB1,CENTB1,ACAP1
CENTB2,CENTB2,ACAP2
CENTB5,CENTB5,ACAP3
ACAT,ACAT,ACAT1
GOLPH1,GOLPH1,ACBD3
GOCAP1,GOCAP1,ACBD3
DCP1,DCP1,ACE
ASAH3,ASAH3,ACER1
ASAH3L,ASAH3L,ACER2
PHCA,PHCA,ACER3
YT,YT,ACHE
ACINUS,ACINUS,ACIN1
FY,FY,ACKR1
DARC,DARC,ACKR1
CMKBR9,CMKBR9,ACKR2
CCBP2,CCBP2,ACKR2
CMKOR1,CMKOR1,ACKR3
CXCR7,CXCR7,ACKR3
CCRL1,CCRL1,ACKR4
CCRL1P,CCRL1P,ACKR4P1
CCRL1P1,CCRL1P1,ACKR4P1
BAATP1,BAATP1,ACNATP
IREB1,IREB1,ACO1
