AGID,AGID,peptide_target,gene
AGID00100,AGID00100,1433BETA,YWHAB
AGID00111,AGID00111,1433EPSILON,YWHAE
AGID00101,AGID00101,1433ZETA,YWHAZ
AGID00001,AGID00001,4EBP1,EIF4EBP1
AGID00002,AGID00002,4EBP1_pS65,EIF4EBP1
AGID00003,AGID00003,4EBP1_pT37T46,EIF4EBP1
AGID00443,AGID00443,4EBP1_pT70,EIF4EBP1
AGID00120,AGID00120,53BP1,TP53BP1
AGID00004,AGID00004,ACC_pS79,ACACA
AGID00004,AGID00004,ACC_pS79,ACACB
AGID00005,AGID00005,ACC1,ACACA
AGID00005,AGID00005,ACC1,ACACB
AGID00408,AGID00408,AceCS1,ACSS2
AGID00473,AGID00473,ACETYLATUBULINLYS40,TUBA1B
AGID00404,AGID00404,ACSL1,ACSL1
AGID02144,AGID02144,ACVRL1,ACVRL1
AGID00186,AGID00186,ADAR1,ADAR
AGID00146,AGID00146,AKT,AKT1
AGID00146,AGID00146,AKT,AKT2
AGID00146,AGID00146,AKT,AKT3
AGID00028,AGID00028,AKT_pS473,AKT1
AGID00028,AGID00028,AKT_pS473,AKT2
AGID00028,AGID00028,AKT_pS473,AKT3
AGID00170,AGID00170,AKT_pT308,AKT1
AGID00170,AGID00170,AKT_pT308,AKT2
AGID00170,AGID00170,AKT_pT308,AKT3
AGID00316,AGID00316,Akt2,AKT2
AGID00347,AGID00347,Akt2_pS474,AKT2
AGID02215,AGID02215,ALKBH5,ALKBH5
AGID00498,AGID00498,ALPHACATENIN,CTNNA1
AGID00287,AGID00287,Ambra1_pS52,AMBRA1
AGID00236,AGID00236,AMPK-a2_pS345,PRKAA2
AGID00006,AGID00006,AMPKALPHA,PRKAA1
AGID00006,AGID00006,AMPKALPHA,PRKAA2
AGID00007,AGID00007,AMPKALPHA_pT172,PRKAA1
AGID00007,AGID00007,AMPKALPHA_pT172,PRKAA2
AGID00193,AGID00193,ANNEXIN1,ANXA1
AGID00166,AGID00166,ANNEXINVII,ANXA7
AGID00371,AGID00371,AR,AR
AGID00194,AGID00194,ARAF,ARAF
AGID02191,AGID02191,ARAF_pS299,ARAF
AGID00260,AGID00260,ARID1A,ARID1A
AGID00264,AGID00264,ASNS,ASNS
AGID00276,AGID00276,Atg3,ATG3
AGID00309,AGID00309,Atg4B,ATG4B
AGID00310,AGID00310,Atg5,ATG5
AGID00277,AGID00277,Atg7,ATG7
AGID00242,AGID00242,ATM,ATM
AGID02142,AGID02142,ATM_pS1981,ATM
AGID00217,AGID00217,ATP5A,ATP5F1A
AGID02145,AGID02145,ATP5H,ATP5PD
AGID02150,AGID02150,ATR,ATR
AGID00315,AGID00315,ATR_pS428,ATR
AGID00268,AGID00268,ATRX,ATRX
AGID00391,AGID00391,Aurora-A,AURKA
AGID00392,AGID00392,Aurora-ABC_pT288_pT232_pT198,AURKA
AGID00392,AGID00392,Aurora-ABC_pT288_pT232_pT198,AURKB
