,0
0,ACTN1
1,ATP2A1
2,MAN1B1
3,NPHP4
4,MAEL
5,PROX1
6,NR5A2
7,ETV6
8,COL6A3
9,SLMAP
10,ITGAD
11,SMARCC2
12,DNAH17
13,RFX5
14,CASZ1
15,MEOX2
16,ZFP36
17,SLC2A9
18,LOXL4
19,CSMD2
20,EHMT1
21,MTMR7
22,ANKRD11
23,TDRD6
24,WWP2
25,SERPINB12
26,SRCAP
27,GPHN
28,OTOF
29,NUP210L
30,MTUS2
31,ZNF362
32,PTPRF
33,PACS2
34,CACNA1A
35,SLC6A5
36,DSTYK
37,APAF1
38,GFPT2
39,LRRC4B
40,AEBP1
41,PELI2
42,DDX18
43,CDH8
44,COL4A1
45,RBM47
46,NLRC3
47,TINAG
48,ARPC2
49,CABYR
50,FBF1
51,PRKCH
52,ST6GALNAC3
53,TRIM56
54,MED13
55,CCDC62
56,DYSF
57,ASAP2
58,CACHD1
59,ESPN
60,KIF3A
61,DPH2
62,PARP10
63,STK38
64,ARHGAP15
65,DNAH11
66,KIF26A
67,ZFHX4
68,KIDINS220
69,CNTNAP2
70,THRA
71,DPP6
72,PTK2B
73,ESCO1
74,CEP68
75,CSMD1
76,PABPC3
77,LTBP4
78,SPTBN4
79,PER3
80,RNF111
81,IGF2R
82,MAPK4
83,NRCAM
84,TULP1
85,PLXNC1
86,RRP1
87,PPFIBP1
88,MYBL1
89,UBR1
90,GBF1
91,ZNF613
92,DPYS
93,CAMSAP1
94,PLA2G15
95,DOCK1
96,GOLGA3
97,AKAP8L
98,ACSL5
99,PDGFRA
100,CRHR1
101,HTR1D
102,RNF220
103,LRPPRC
104,NBL1
105,SERINC5
106,ERCC6
107,ZEB2
108,SLC20A2
109,PADI3
110,ABR
111,DIP2C
112,SYNJ1
113,DNAH10
114,ALDOA
115,ANK3
116,ZNF710
117,NCAPD2
118,UBTF
119,OSBPL1A
120,EPB41L3
121,DCC
122,CD2
123,TCF12
124,THBS1
125,ZBTB20
126,GABBR1
127,SORBS2
128,MTSS1
129,NCOA7
130,ZNF808
131,GABRA5
132,ARHGEF4
133,EHMT2
134,KRT5
135,NOL10
136,HIP1
137,DGKI
138,PROM2
139,CUX2
140,KIF13A
141,SLC25A2
142,ABCC1
143,ZBTB9
144,ARHGEF10
145,FRMD1
146,PNPLA6
147,PRPF38B
148,ATG4D
149,BRCA2
