,pretrain_score
0,-0.24030331568817814
1,-0.21473615250995648
2,-0.2101500436220755
3,-0.1968448553413445
4,-0.1897117541572773
5,-0.19159127970913242
6,-0.1824169607311484
7,-0.15958754196254638
8,-0.15464655884890072
9,-0.15251638941823678
10,-0.12967376705546219
11,-0.13832872293925375
12,-0.1321402535647393
13,-0.1342175463993317
14,-0.11453578839140226
15,-0.10053478499685431
16,-0.13105242486303656
17,-0.11005032816408619
18,-0.12064172816462466
19,-0.10784313250818067
20,-0.09491170672164113
21,-0.11154676357460176
22,-0.09643710194196539
23,-0.10095469597922146
24,-0.08396473059956795
25,-0.08733271230087651
26,-0.08063830317055805
27,-0.09107827186962533
28,-0.08253710072548193
29,-0.07063343068107526
30,-0.08888500482726178
31,-0.0749440205015981
32,-0.07719393247353061
33,-0.07882865954756828
34,-0.07129973375511334
35,-0.08664456193499219
36,-0.049089256582947216
37,-0.04971471373346738
38,-0.059739116805596196
39,-0.06648955773045959
40,-0.05057491152580977
41,-0.07410674631591216
42,-0.04672818526690955
43,-0.06200695168237291
44,-0.07368470074059766
45,-0.05922964250074096
46,-0.06688158642979913
47,-0.05766993078006777
48,-0.05335480059917898
49,-0.053691329085415095
