,pretrain_score
0,-0.5131125196930606
1,-0.5130372287167255
2,-0.5153550730335565
3,-0.5189532851669569
4,-0.5198048569946192
5,-0.5226502547835881
6,-0.5102943768506705
7,-0.5068879050005028
8,-0.5261208015198438
9,-0.5277996205959304
10,-0.5329430201937084
11,-0.5267930116783145
12,-0.5149689428065778
13,-0.530848051942679
14,-0.5291131197321344
15,-0.5218707750982358
16,-0.5312343317349427
17,-0.5362733470442813
18,-0.5261420780388477
19,-0.5302212499298826
20,-0.5441978696581302
21,-0.5376455992869201
22,-0.5316479490395007
23,-0.5406979695868857
24,-0.532035717223275
25,-0.5393994410045327
26,-0.53034917154689
27,-0.5250213337067205
28,-0.5414206478547793
29,-0.5409129940597084
30,-0.539099517928781
31,-0.538596152869913
32,-0.5427873710196077
33,-0.5553950777495549
34,-0.5479857223260172
35,-0.5441532795285461
36,-0.5439796686725624
37,-0.5470348063607732
38,-0.5444095107735268
39,-0.5392936572820853
40,-0.5427905951740369
41,-0.5467380983474103
42,-0.5579986017348524
43,-0.5546867382943701
44,-0.5560358060525956
45,-0.5528353569341456
46,-0.5457078668307607
47,-0.5501305700204957
48,-0.5572368176046952
49,-0.5484049521331533
