,pretrain_score
0,-0.7129148100344974
1,-0.6992742779884438
2,-0.7074832464886602
3,-0.7102185499539371
4,-0.7071681021886193
5,-0.7064518134069626
6,-0.7092915171167917
7,-0.7065205724332774
8,-0.7068796846359666
9,-0.7016393704313642
10,-0.6994955850394851
11,-0.6998721804479499
12,-0.7044063723294701
13,-0.7047397194783985
14,-0.7081343128230695
15,-0.709637666582301
16,-0.70686887045986
17,-0.7084419240989093
18,-0.705894028024395
19,-0.708223254047602
20,-0.7016257514578739
21,-0.7063708769652972
22,-0.7124229084472834
23,-0.7104254141181496
24,-0.713288346913964
25,-0.7049892913171611
26,-0.706513146116637
27,-0.7097255306108416
28,-0.7077551503217027
29,-0.7074646504483333
30,-0.7107583265675388
31,-0.7091267331710922
32,-0.7054321583268165
33,-0.7127239913174905
34,-0.7126066181410734
35,-0.7147915244705557
36,-0.7139937303223267
37,-0.7107409352141619
38,-0.7093687205134336
39,-0.7133500507525806
40,-0.7059309134145031
41,-0.7100039849069736
42,-0.7122463614808564
43,-0.7031641757440369
44,-0.7079366652812549
45,-0.7120969848055312
46,-0.7053394900539975
47,-0.7086282008229003
48,-0.7110688185417986
49,-0.7168674008630989
