,pretrain_score
0,-0.10154539066929283
1,-0.16257528715372951
2,-0.15987292738716274
3,-0.12776154463270128
4,-0.12575167872105641
5,-0.13027631622926128
6,-0.11396035577571428
7,-0.10902405166670107
8,-0.07504986243375825
9,-0.09692352210459049
10,-0.10281597780011457
11,-0.09393844939526516
12,-0.09871763942330836
13,-0.08805271271150086
14,-0.11871779427141774
15,-0.10607804828882843
16,-0.10941903579791107
17,-0.07759857406833442
18,-0.1316536099919574
19,-0.07713762965813557
20,-0.10947953396021143
